Blue,Green,Yellow,Red,Orange
604,823,1078,1471,580
597,826,1086,1473,583
601,822,1073,1462,577
602,822,1090,1465,582
606,821,1082,1466,583
603,822,1081,1471,574
605,823,1081,1471,579
598,814,1082,1474,581
601,824,1070,1464,574
602,820,1081,1475,577
597,825,1081,1470,582
605,818,1084,1475,577
601,818,1074,1468,577
607,822,1076,1468,575
598,825,1081,1468,577
604,821,1080,1475,581
602,826,1085,1473,581
598,819,1080,1465,586
604,823,1080,1460,578
603,827,1071,1461,579
606,825,1077,1469,576
601,817,1085,1464,579
605,815,1075,1467,581
606,822,1074,1467,575
603,822,1078,1464,578
604,825,1082,1468,579
601,819,1071,1458,578
600,822,1082,1470,582
603,825,1080,1465,584
605,819,1082,1463,582
603,828,1080,1466,579
603,818,1084,1469,581
600,822,1084,1472,577
598,816,1084,1463,583
601,818,1073,1462,573
608,822,1085,1457,578
605,821,1077,1458,580
605,827,1079,1470,584
613,825,1080,1465,577
607,823,1079,1468,579
598,815,1076,1466,576
603,814,1079,1464,581
600,822,1082,1471,579
603,821,1073,1469,578
598,821,1084,1469,577
605,821,1073,1466,574
604,818,1079,1468,582
594,821,1080,1467,577
601,821,1077,1468,584
602,821,1079,1461,578
600,819,1074,1461,581
603,823,1073,1462,579
605,819,1081,1475,575
599,816,1077,1462,576
597,817,1078,1474,576
605,822,1080,1468,583
601,817,1075,1460,575
601,816,1076,1471,579
602,819,1078,1463,577
606,822,1075,1463,570
601,825,1073,1474,576
600,818,1077,1474,581
603,822,1080,1462,580
600,817,1081,1465,579
597,828,1079,1460,587
600,827,1071,1468,580
599,819,1075,1463,581
598,818,1073,1462,575
604,817,1073,1467,578
600,819,1073,1465,578
598,819,1073,1470,579
600,820,1081,1464,578
600,822,1074,1470,580
602,824,1066,1468,577
601,827,1074,1465,576
596,822,1078,1465,579
604,820,1069,1468,575
610,818,1084,1462,579
603,823,1075,1472,579
608,825,1077,1470,575
604,823,1081,1468,580
603,823,1077,1462,576
600,831,1075,1468,577
599,823,1078,1474,577
604,827,1081,1467,573
604,823,1077,1463,575
610,827,1077,1471,583
604,824,1075,1464,579
601,820,1078,1470,573
605,820,1082,1473,580
605,826,1077,1462,580
600,819,1085,1475,570
607,827,1080,1463,580
605,821,1086,1473,580
601,827,1081,1474,577
605,824,1081,1467,577
602,820,1081,1470,580
611,834,1096,1485,581
622,855,1113,1516,584
623,872,1129,1533,586
626,869,1132,1540,584
634,867,1131,1537,583
624,867,1126,1537,583
631,864,1129,1540,581
629,863,1130,1534,581
629,866,1127,1525,586
622,866,1124,1537,578
635,868,1131,1543,584
631,868,1137,1531,584
629,867,1126,1529,580
631,867,1126,1531,589
632,868,1134,1531,583
632,873,1129,1541,585
628,870,1135,1542,584
629,868,1127,1523,582
628,869,1129,1542,583
631,874,1130,1529,583
630,870,1134,1536,587
630,876,1127,1534,586
628,867,1131,1533,587
631,873,1129,1533,587
635,870,1136,1542,585
632,867,1134,1539,590
633,871,1142,1529,575
629,873,1126,1538,584
629,873,1130,1539,584
634,867,1135,1536,585
629,865,1136,1530,586
628,871,1138,1530,585
628,873,1135,1535,580
637,874,1136,1536,588
633,872,1142,1540,582
635,875,1133,1540,586
633,874,1141,1538,582
633,874,1133,1540,590
633,866,1138,1544,584
630,869,1140,1530,584
631,873,1143,1542,582
638,871,1130,1541,588
637,869,1135,1544,584
638,872,1137,1540,586
632,872,1129,1541,589
641,881,1138,1543,581
632,874,1137,1546,581
640,880,1138,1540,582
635,878,1143,1550,589
642,869,1137,1534,590
632,870,1132,1545,586
640,872,1141,1550,584
637,879,1147,1543,586
630,878,1143,1547,588
634,877,1138,1544,586
632,879,1146,1549,583
638,872,1147,1551,582
639,880,1144,1540,589
634,881,1134,1556,586
635,873,1144,1544,590
640,886,1144,1553,589
637,882,1141,1543,583
638,886,1144,1548,584
635,881,1137,1548,589
643,885,1143,1548,588
642,877,1148,1551,581
635,884,1144,1552,585
634,876,1144,1545,582
636,888,1144,1549,583
638,874,1154,1551,585
639,881,1144,1545,584
638,879,1148,1553,587
635,882,1137,1552,589
636,885,1149,1559,589
637,889,1148,1548,588
638,887,1144,1543,588
638,879,1147,1548,588
636,887,1147,1562,586
637,882,1145,1556,591
644,879,1146,1553,584
642,890,1147,1559,583
639,881,1147,1558,588
642,886,1151,1559,585
644,880,1157,1563,588
639,879,1154,1560,586
641,889,1152,1561,586
639,889,1152,1562,590
645,883,1155,1560,591
646,889,1156,1560,585
640,895,1158,1559,580
636,890,1143,1559,584
644,894,1151,1556,594
641,885,1151,1557,581
639,887,1146,1563,590
642,883,1147,1559,587
649,890,1146,1560,585
642,887,1151,1561,581
640,888,1157,1561,583
641,888,1150,1559,588
645,893,1157,1562,583
635,897,1163,1557,582
639,894,1155,1562,587
650,884,1157,1565,582
649,893,1150,1564,584
646,895,1158,1571,588
649,895,1158,1562,583
647,892,1157,1566,585
644,894,1161,1565,590
645,894,1159,1569,587
648,892,1160,1562,587
650,893,1162,1573,583
646,892,1172,1568,586
649,897,1159,1569,586
646,900,1165,1575,589
649,893,1161,1564,584
650,902,1170,1585,588
647,898,1172,1568,591
646,900,1161,1572,587
652,898,1163,1565,587
647,899,1166,1581,586
648,900,1170,1583,590
657,905,1176,1581,585
655,904,1163,1577,585
648,904,1169,1578,588
647,908,1165,1584,589
652,916,1177,1583,580
654,911,1175,1580,594
656,911,1179,1586,589
651,910,1171,1596,585
657,906,1179,1592,586
654,913,1178,1582,586
655,913,1178,1596,587
659,907,1180,1587,586
655,914,1179,1596,588
659,909,1180,1592,588
657,916,1182,1592,590
659,921,1184,1595,586
660,919,1180,1593,587
655,913,1181,1599,588
668,914,1183,1590,587
662,917,1184,1599,590
654,919,1181,1596,590
659,915,1173,1604,587
662,920,1185,1598,596
670,921,1186,1596,590
662,921,1191,1594,588
660,921,1189,1599,591
668,923,1183,1602,587
664,921,1184,1592,590
658,921,1194,1597,584
660,927,1184,1601,586
661,925,1187,1606,595
665,925,1191,1601,589
667,924,1194,1602,594
673,923,1195,1612,590
661,926,1191,1599,594
662,926,1189,1607,593
665,929,1196,1623,592
669,933,1199,1607,596
661,926,1193,1612,589
666,928,1195,1610,593
664,934,1193,1608,589
668,928,1200,1609,592
664,928,1200,1619,589
669,928,1192,1607,590
669,932,1204,1619,590
670,932,1193,1612,591
665,931,1197,1613,587
671,939,1202,1609,591
671,934,1198,1610,593
667,937,1204,1625,594
668,937,1209,1624,588
669,932,1205,1623,589
669,937,1202,1621,592
672,937,1210,1620,587
674,930,1207,1622,594
673,944,1209,1627,593
672,937,1206,1628,593
681,935,1200,1623,588
678,944,1212,1626,593
670,941,1215,1630,590
674,938,1218,1628,591
670,943,1213,1634,590
679,941,1202,1631,589
677,946,1208,1635,590
678,947,1211,1635,591
669,943,1214,1647,587
675,945,1211,1638,589
685,952,1221,1636,590
675,944,1214,1637,593
675,951,1211,1627,587
681,953,1217,1639,591
677,943,1216,1637,590
688,957,1220,1648,593
685,951,1222,1642,589
681,958,1220,1639,592
682,953,1220,1643,591
682,959,1220,1651,592
682,958,1223,1646,596
685,950,1229,1655,595
682,959,1225,1644,597
678,954,1233,1648,594
681,951,1231,1662,592
685,961,1226,1651,592
679,960,1237,1650,594
681,953,1228,1664,590
678,967,1231,1650,591
685,959,1234,1658,593
687,960,1235,1656,591
681,963,1232,1657,597
688,966,1239,1669,594
686,969,1234,1664,597
689,968,1231,1666,593
686,966,1236,1663,593
683,973,1237,1671,595
689,975,1242,1677,594
685,982,1237,1664,594
690,965,1243,1668,597
693,969,1251,1668,601
689,974,1236,1680,590
690,972,1243,1660,597
699,973,1238,1679,592
696,975,1245,1674,593
695,973,1242,1672,598
690,976,1247,1673,593
693,971,1247,1677,600
694,980,1246,1677,586
697,979,1249,1682,595
694,979,1253,1681,594
702,978,1257,1673,596
701,977,1261,1678,595
695,983,1250,1685,599
696,986,1255,1678,597
692,982,1255,1685,593
692,982,1256,1681,610
695,979,1256,1682,599
696,979,1255,1682,595
697,982,1261,1695,599
696,991,1268,1688,595
702,983,1263,1685,603
700,986,1269,1692,596
701,990,1257,1695,596
699,986,1257,1690,599
701,983,1266,1692,599
691,984,1261,1686,597
704,986,1260,1696,600
697,990,1268,1696,597
702,994,1265,1705,594
702,993,1270,1704,593
705,993,1270,1698,594
704,985,1267,1697,596
703,991,1269,1701,597
698,994,1273,1710,600
701,993,1270,1711,599
701,994,1274,1706,596
701,996,1272,1704,598
705,994,1273,1704,598
709,999,1276,1718,599
709,1000,1274,1705,604
711,997,1270,1716,599
709,994,1276,1711,599
704,1007,1284,1715,603
711,1004,1271,1709,602
708,1000,1282,1714,598
715,998,1277,1703,596
707,1005,1284,1729,605
709,1003,1282,1727,602
709,1000,1276,1721,599
705,1001,1289,1713,598
711,1003,1273,1727,601
707,1004,1283,1715,592
716,1013,1283,1732,601
706,1009,1288,1723,598
718,1006,1289,1725,598
710,1011,1288,1722,594
714,1008,1282,1725,595
714,1010,1279,1728,603
713,1011,1289,1729,599
711,1007,1284,1734,600
708,1001,1289,1728,601
715,1011,1286,1729,602
709,1012,1292,1728,598
716,1014,1292,1726,601
716,1017,1302,1734,598
707,1018,1293,1740,603
720,1015,1303,1733,603
714,1014,1289,1727,600
714,1021,1296,1739,599
712,1014,1295,1742,602
714,1013,1299,1742,600
716,1015,1294,1735,601
711,1017,1294,1745,601
728,1042,1319,1765,602
